n,overlap
145,0.000407991
146,0.000405737
147,0.000404632
148,0.000406434
149,0.00040325
150,0.00040547
151,0.000400463
152,0.000402128
153,0.000399396
154,0.000404339
155,0.000408578
156,0.000405663
157,0.000409531
158,0.000406242
159,0.000405559
160,0.000405888
161,0.00040463
162,0.000402971
163,0.00039916
164,0.000394565
165,0.000396049
166,0.000397011
167,0.000395065
168,0.00039581
169,0.000394261
170,0.000395552
171,0.000398131
172,0.000394238
173,0.000392133
174,0.000396935
175,0.000394914
176,0.000398748
177,0.00039828
178,0.000400005
179,0.000397419
180,0.000396459
181,0.000393932
182,0.000395036
183,0.000393113
184,0.000398734
185,0.000398905
186,0.000398783
187,0.000395818
188,0.000396394
189,0.000393647
190,0.000393553
191,0.000393809
192,0.000393834
193,0.000391431
194,0.000391383
195,0.00039083
196,0.000391593
197,0.000389578
198,0.000389745
199,0.000389798
200,0.000387431
201,0.000386985
202,0.00038662
203,0.000388106
204,0.000384807
205,0.000384379
206,0.000387136
207,0.000386657
208,0.000387163
209,0.00038585
210,0.000386656
211,0.000386142
212,0.000386709
213,0.000384196
214,0.000386406
215,0.000388955
216,0.000388548
217,0.000391457
218,0.000391087
219,0.000392346
220,0.000392244
221,0.000397767
222,0.000395076
223,0.000399467
224,0.000398915
225,0.000402349
226,0.000400599
227,0.000400279
228,0.00040125
229,0.000402083
230,0.000402214
231,0.000402157
232,0.000401376
233,0.000402112
234,0.000402044
235,0.000399727
236,0.000398539
237,0.000397421
238,0.000397769
239,0.00039654
240,0.000394657
241,0.000393477
242,0.000392406
243,0.000393622
244,0.000393185
245,0.000393485
246,0.000392397
247,0.00039044
248,0.000387831
249,0.000386813
250,0.000385968
251,0.000385072
252,0.000384498
253,0.000385578
254,0.000388939
255,0.000386077
256,0.000385009
257,0.000384629
258,0.00038599
259,0.000384809
260,0.000384042
261,0.000384365
262,0.000383664
263,0.000382033
264,0.000382717
265,0.000382479
266,0.000381987
267,0.000381408
268,0.00038166
269,0.000383464
270,0.000381852
271,0.000383105
272,0.000384051
273,0.000385946
274,0.000386917
275,0.00038685
276,0.000388686
277,0.000388833
278,0.000390567
279,0.000392005
280,0.000391147
281,0.000392257
282,0.000391917
283,0.000391048
284,0.000390511
285,0.000391657
286,0.000392843
287,0.000393529
288,0.0003942
289,0.000397163
290,0.000397723
291,0.000398392
292,0.000397637
293,0.000397996
294,0.000397088
295,0.000395594
296,0.000398108
297,0.000397439
298,0.000396348
299,0.000397015
300,0.000396875
301,0.000395715
302,0.000395574
303,0.000397449
304,0.000397768
305,0.000399657
306,0.000399233
307,0.000397821
308,0.000396291
309,0.00039466
310,0.000393609
311,0.000393156
312,0.000392187
313,0.000392942
314,0.000392239
315,0.000391688
316,0.000390739
317,0.000393366
318,0.000393213
319,0.000392263
320,0.00039127
321,0.000390722
322,0.000390757
323,0.000389808
324,0.000392305
325,0.000393123
326,0.00039185
327,0.000391241
328,0.000392969
329,0.000390537
330,0.000389231
331,0.000388418
332,0.000388433
333,0.000388566
334,0.000387719
335,0.000387889
336,0.000386712
337,0.000387239
338,0.000385689
339,0.000386397
340,0.000387749
341,0.000388543
342,0.000388652
343,0.000389305
344,0.00038824
345,0.000387941
346,0.000388964
347,0.000388815
348,0.000388302
349,0.000386424
350,0.000387266
351,0.00038637
352,0.000386603
353,0.000386092
354,0.000386159
355,0.000386925
356,0.000385739
357,0.000387184
358,0.000391386
359,0.00039071
360,0.000390947
361,0.00039203
362,0.000390519
363,0.00038909
364,0.000389292
365,0.000389816
366,0.000389782
367,0.000388439
368,0.000387095
369,0.000387612
370,0.000386985
371,0.000386446
372,0.000387359
373,0.000388229
374,0.00038897
375,0.000388782
376,0.000387235
377,0.000387117
378,0.000386589
379,0.000387476
380,0.000387619
381,0.000387459
382,0.000387097
383,0.000387191
384,0.000386518
385,0.000385321
386,0.000384382
387,0.000383638
388,0.00038338
389,0.000383767
390,0.000382649
391,0.00038169
392,0.000382552
393,0.000381463
394,0.000382602
395,0.000382534
396,0.000383087
397,0.000383717
398,0.000383441
399,0.000383612
400,0.000382748
401,0.000381919
402,0.000381093
403,0.00038055
404,0.00038038
405,0.000380676
406,0.00038028
407,0.000380092
408,0.000379121
409,0.000380672
410,0.000380217
411,0.000379605
412,0.000378652
413,0.000378811
414,0.00037886
415,0.000378852
416,0.000378687
417,0.000379766
418,0.000379821
419,0.000379652
420,0.000380419
421,0.000380127
422,0.000380441
423,0.000382046
424,0.00038224
425,0.000381971
426,0.000381367
427,0.000380813
428,0.000380489
429,0.000380843
430,0.000380848
431,0.000380281
432,0.000380379
433,0.000380848
434,0.000380364
435,0.0003789
436,0.000378809
437,0.000379134
438,0.000378803
439,0.000378262
440,0.000379777
441,0.000380208
442,0.000381375
443,0.000380469
444,0.000379694
445,0.000379833
446,0.00038085
447,0.000380377
448,0.000381882
449,0.000382296
450,0.000382527
451,0.000382064
452,0.000381025
453,0.000381283
454,0.000381398
455,0.000381771
456,0.000380693
457,0.000381773
458,0.000381972
459,0.000381805
460,0.000382706
461,0.000382448
462,0.00038151
463,0.000381749
464,0.000382112
465,0.000382433
466,0.000382253
467,0.000382598
468,0.000382881
469,0.000383652
470,0.000383718
471,0.000383097
472,0.000383056
473,0.00038323
474,0.000383431
475,0.000383705
476,0.000383463
477,0.000382868
478,0.000383389
479,0.000384528
480,0.000384065
481,0.000384379
482,0.000384783
483,0.000385114
484,0.000385422
485,0.000385604
486,0.000386111
487,0.000385345
488,0.000385776
489,0.000385304
490,0.000386245
491,0.000386983
492,0.000387046
493,0.000386447
494,0.000386208
495,0.000386072
496,0.000385011
497,0.000384527
498,0.000384122
499,0.000383986
500,0.000385174
501,0.000384963
502,0.000384348
503,0.000385083
504,0.000385398
505,0.000385142
506,0.000384931
507,0.000384233
508,0.000384119
509,0.000384508
510,0.000384671
511,0.000384498
512,0.000384019
513,0.000383628
514,0.00038331
515,0.000383134
516,0.000383881
517,0.000384179
518,0.000385638
519,0.000385884
520,0.000386379
521,0.000385889
522,0.000385592
523,0.000385043
524,0.000385358
525,0.00038511
526,0.000385115
527,0.000384845
528,0.000384491
529,0.000383925
530,0.000383547
531,0.000383018
532,0.00038318
533,0.000382778
534,0.000383043
535,0.000382434
536,0.000382073
537,0.00038223
538,0.000381658
539,0.000382246
540,0.000382712
541,0.000382504
542,0.00038217
543,0.000381775
544,0.000383584
545,0.00038366
546,0.00038335
547,0.000382738
548,0.000382602
549,0.000381513
550,0.000381377
551,0.000380873
552,0.000380888
553,0.000380089
554,0.00037953
555,0.000379994
556,0.000379747
557,0.000379489
558,0.000380106
559,0.000380206
560,0.000380116
561,0.000379591
562,0.000379505
563,0.000379727
564,0.000379245
565,0.000379457
566,0.000378668
567,0.000378257
568,0.000377936
569,0.000378245
570,0.000378297
571,0.000377619
572,0.000378408
573,0.000378131
574,0.000378602
575,0.000378152
576,0.000378404
577,0.000378222
578,0.000378676
579,0.000378409
580,0.000378449
581,0.000378005
582,0.000378226
583,0.000378166
584,0.000378038
585,0.000377799
586,0.000377402
587,0.000377224
588,0.000376951
589,0.000377569
590,0.000377418
591,0.000378181
592,0.000379013
593,0.000379077
594,0.000378427
595,0.000378929
596,0.000378782
597,0.000378668
598,0.000379185
599,0.000378977
600,0.000378921
601,0.000378347
602,0.000377797
603,0.000377997
604,0.000378034
605,0.000377778
606,0.000377509
607,0.000377166
608,0.000377445
609,0.000377499
610,0.000377084
611,0.000377081
612,0.000377297
613,0.000377051
614,0.000376621
615,0.000376813
616,0.000377396
617,0.000378175
618,0.00037789
619,0.000377951
620,0.000377674
621,0.000377525
622,0.000378287
623,0.000378483
624,0.000378314
625,0.000378642
626,0.000378669
627,0.000379217
628,0.000379278
629,0.000378846
630,0.000378162
631,0.000377597
632,0.000377235
633,0.000377315
634,0.000377628
635,0.000377658
636,0.000377812
637,0.000377443
638,0.000376918
639,0.000376439
640,0.000376298
641,0.000377272
642,0.000377851
643,0.000377328
644,0.000377132
645,0.00037699
646,0.000376777
647,0.000376078
648,0.00037551
649,0.000375597
650,0.000375563
651,0.000375538
652,0.000376288
653,0.000375769
654,0.000375688
655,0.000375102
656,0.000375127
657,0.00037489
658,0.000374773
659,0.000375507
660,0.000375915
661,0.000376039
662,0.000375921
663,0.000376224
664,0.000376385
665,0.000376693
666,0.000376667
667,0.000376534
668,0.000376927
669,0.000376554
670,0.000376567
671,0.000376352
672,0.000376346
673,0.000376239
674,0.000376166
675,0.000376602
676,0.000376377
677,0.000376779
678,0.000376195
679,0.000376965
680,0.000376617
681,0.000376352
682,0.000376061
683,0.000376385
684,0.000376369
685,0.000375939
686,0.000375493
687,0.000375231
688,0.000375383
689,0.000375161
690,0.000374695
691,0.000375326
692,0.000375925
693,0.000376059
694,0.000375945
695,0.000376044
696,0.00037619
697,0.000376122
698,0.000375896
699,0.000375783
700,0.00037569
701,0.000375631
702,0.000375627
703,0.000375522
704,0.000375633
705,0.000375279
706,0.000374945
707,0.000374578
708,0.000374828
709,0.000374702
710,0.000374624
711,0.000374806
712,0.000374947
713,0.000375089
714,0.00037469
715,0.000374591
716,0.000374724
717,0.000374921
718,0.000375085
719,0.000375296
720,0.000375017
721,0.000374505
722,0.00037559
723,0.000375031
724,0.000374739
725,0.000374904
726,0.000374792
727,0.000375401
728,0.000375475
729,0.00037562
730,0.000375762
731,0.000376067
732,0.000376158
733,0.000376439
734,0.000376572
735,0.000376666
736,0.000376867
737,0.000376733
738,0.000377199
739,0.000377115
740,0.000377312
741,0.000376845
742,0.000376991
743,0.000377325
744,0.000377281
745,0.000377259
746,0.000377091
747,0.000377002
748,0.000376992
749,0.000376667
750,0.000376862
751,0.000376666
752,0.000376445
753,0.000376436
754,0.000376325
755,0.000375888
756,0.00037588
757,0.000376408
758,0.000376594
759,0.000376429
760,0.000376367
761,0.000376045
762,0.000376043
763,0.000376645
764,0.000376556
765,0.000376602
766,0.00037651
767,0.000376736
768,0.000376703
769,0.000376847
770,0.000376924
771,0.000377046
772,0.000377153
773,0.000376938
774,0.000377068
775,0.000376583
776,0.000376212
777,0.000376757
778,0.000376449
779,0.000376273
780,0.000376468
781,0.00037669
782,0.000376619
783,0.00037672
784,0.000376412
785,0.000376676
786,0.000376538
787,0.00037666
788,0.000376238
789,0.000376243
790,0.000376486
791,0.000376715
792,0.000376544
793,0.000376648
794,0.000376515
795,0.000376513
796,0.000376347
797,0.000376187
798,0.000376525
799,0.000376671
800,0.000376742
801,0.000376759
802,0.00037622
803,0.000375933
804,0.000376069
805,0.00037615
806,0.000375683
807,0.000375413
808,0.000375642
809,0.000375263
810,0.000375092
811,0.000375149
812,0.000375077
813,0.000375201
814,0.000375254
815,0.000375524
816,0.000375537
817,0.000376246
818,0.000376529
819,0.00037651
820,0.000376269
821,0.000376161
822,0.000376182
823,0.000375791
824,0.000375611
825,0.000375355
826,0.000375278
827,0.000375295
828,0.000375394
829,0.000374966
830,0.000374932
831,0.000375397
832,0.0003754
833,0.000375314
834,0.000375353
835,0.000374984
836,0.000375009
837,0.000375162
838,0.000374691
839,0.000374579
840,0.000374795
841,0.000374437
842,0.000373952
843,0.000374276
844,0.000374207
845,0.000374186
846,0.000374226
847,0.000373957
848,0.00037441
849,0.000374386
850,0.000374581
851,0.00037499
852,0.000374768
853,0.000374868
854,0.000374453
855,0.000374189
856,0.000374241
857,0.000374023
858,0.000373879
859,0.000374128
860,0.000373996
861,0.000373857
862,0.000373807
863,0.000373693
864,0.000373749
865,0.000373944
866,0.00037378
867,0.000373635
868,0.000373777
869,0.000373764
870,0.000373785
871,0.000374103
872,0.000374045
873,0.000374451
874,0.000374288
875,0.000374449
876,0.000374325
877,0.000374557
878,0.000374864
879,0.000374764
880,0.000374961
881,0.000374508
882,0.000374265
883,0.00037459
884,0.000374752
885,0.000374961
886,0.000374797
887,0.000374728
888,0.000375
889,0.00037496
890,0.000374886
891,0.00037475
892,0.000374402
893,0.000374934
894,0.000374852
895,0.00037431
896,0.000374011
897,0.000373978
898,0.000373703
899,0.000373319
900,0.000373219
901,0.000372798
902,0.000372676
903,0.000372763
904,0.000373349
905,0.000373769
906,0.000373632
907,0.000373481
908,0.000373352
909,0.000373411
910,0.000373003
911,0.000372982
912,0.000373118
913,0.000372874
914,0.000372798
915,0.000372948
916,0.000372804
917,0.000372686
918,0.000372505
919,0.00037231
920,0.000372055
921,0.000372071
922,0.000372345
923,0.0003728
924,0.000372887
925,0.000373613
926,0.000373853
927,0.000373796
928,0.0003738
929,0.000374005
930,0.000374007
931,0.000374152
932,0.000373931
933,0.000374184
934,0.000373849
935,0.000373663
936,0.000373671
937,0.000373257
938,0.000373662
939,0.000373386
940,0.000373272
941,0.00037334
942,0.000373245
943,0.000373163
944,0.000372994
945,0.000373153
946,0.000373233
947,0.000373113
948,0.000373046
949,0.000373092
950,0.000372961
951,0.000372932
952,0.000372892
953,0.000372985
954,0.000373027
955,0.000372949
956,0.000373005
957,0.000373173
958,0.00037302
959,0.000372899
960,0.000372648
961,0.000372844
962,0.000373197
963,0.000372937
964,0.000373116
965,0.000372904
966,0.000372978
967,0.000373112
968,0.000372706
969,0.000372741
970,0.000372565
971,0.000372596
972,0.000372507
973,0.000372404
974,0.000372482
975,0.000372299
976,0.000372637
977,0.000372873
978,0.000373166
979,0.000373038
980,0.00037314
981,0.000373031
982,0.000373058
983,0.000373644
984,0.000373636
985,0.000374065
986,0.000374094
987,0.000373834
988,0.000374063
989,0.000373975
990,0.000373597
991,0.000373454
992,0.000373414
993,0.000373714
994,0.000373926
995,0.000373686
996,0.000373564
997,0.000373844
998,0.000373613
999,0.000373635
1000,0.000373553
1001,0.000373362
1002,0.000373725
1003,0.000374669
1004,0.000374728
1005,0.000374684
1006,0.000374802
1007,0.00037493
1008,0.000375233
1009,0.000375183
1010,0.000375492
1011,0.000375599
1012,0.000376083
1013,0.000376072
1014,0.000376018
1015,0.000376211
1016,0.000376176
1017,0.000376179
1018,0.000375865
1019,0.000375705
1020,0.000375554
1021,0.000375725
1022,0.000375561
1023,0.000375465
1024,0.000375115
1025,0.000374997
1026,0.00037513
1027,0.000375132
1028,0.000375003
1029,0.000374722
1030,0.000374828
1031,0.000375123
1032,0.000375089
1033,0.000374955
1034,0.000374972
1035,0.000375032
1036,0.000375077
1037,0.000374768
1038,0.000374832
1039,0.000375175
1040,0.000375049
1041,0.000374838
1042,0.000374558
1043,0.000374732
1044,0.000374848
1045,0.000375259
1046,0.00037528
1047,0.000375135
1048,0.000375003
1049,0.000375056
1050,0.000374702
1051,0.000375127
1052,0.000375236
1053,0.000375201
1054,0.000375192
1055,0.000374928
1056,0.000375109
1057,0.000375259
1058,0.000375134
1059,0.000375201
1060,0.000375138
1061,0.000374838
1062,0.000374505
1063,0.000374547
1064,0.00037443
1065,0.000374657
1066,0.000374588
1067,0.000374727
1068,0.000374723
1069,0.000374357
1070,0.000374225
1071,0.000374098
1072,0.000373813
1073,0.00037365
1074,0.000373352
1075,0.000373638
1076,0.000373465
1077,0.00037346
1078,0.000373654
1079,0.000373694
1080,0.000373622
1081,0.000373925
1082,0.000373922
1083,0.000373698
1084,0.000374
1085,0.000373917
1086,0.000373636
1087,0.000373508
1088,0.000373591
1089,0.000373701
1090,0.000373634
1091,0.00037362
1092,0.000373822
1093,0.000373473
1094,0.000373456
1095,0.000373595
1096,0.000373718
1097,0.000373754
1098,0.000373989
1099,0.000373737
1100,0.000374211
1101,0.000374139
1102,0.000374291
1103,0.000374108
1104,0.00037389
1105,0.000373613
1106,0.00037371
1107,0.000373884
1108,0.000373826
1109,0.000373831
1110,0.000373826
1111,0.000373563
